GEOID_Data,single_family,multi_family,units_other,white_single_family,white_multi_family,white_units_other,black_single_family,black_multi_family,black_units_other,other_single_family,other_multi_family,other_units_other,nhisp_white_single_family,nhisp_white_multi_family,nhisp_white_units_other,hisp_single_family,hisp_multi_family,hisp_units_other,nhisp_single_family,nhisp_multi_family,nhisp_units_other
14000US17031630600,0.4055023923444976,0.5944976076555024,0.0,0.40997830802603036,0.5900216919739696,0.0,0.4090909090909091,0.5909090909090909,0.0,0.3987915407854985,0.6012084592145015,0.0,0.3287671232876712,0.6712328767123288,0.0,0.39739884393063585,0.6026011560693642,0.0,0.4444444444444444,0.5555555555555556,0.0
14000US17031490200,0.8150492264416315,0.1849507735583685,0.0,0.38636363636363635,0.6136363636363636,0.0,0.8268525311812179,0.1731474688187821,0.0,1.0,0.0,0.0,0.38636363636363635,0.6136363636363636,0.0,,,,0.8150492264416315,0.1849507735583685,0.0
14000US17031612200,0.33895297249334516,0.6610470275066548,0.0,0.21895424836601307,0.7810457516339869,0.0,0.42776203966005666,0.5722379603399433,0.0,0.3504273504273504,0.6495726495726496,0.0,0.0,1.0,0.0,0.3328785811732606,0.6671214188267395,0.0,0.350253807106599,0.649746192893401,0.0
14000US17031844700,0.15926493108728942,0.8254211332312404,0.015313935681470138,0.2962962962962963,0.5802469135802469,0.12345679012345678,0.10845986984815618,0.8915401301518439,0.0,0.2702702702702703,0.7297297297297297,0.0,0.16279069767441862,0.8372093023255814,0.0,0.31543624161073824,0.6174496644295302,0.06711409395973154,0.1130952380952381,0.8869047619047619,0.0
14000US17031844600,0.08281829419035847,0.9171817058096415,0.0,0.0,1.0,0.0,0.0821917808219178,0.9178082191780822,0.0,0.18421052631578946,0.8157894736842105,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.07481296758104738,0.9251870324189526,0.0
14000US17031320102,0.11470708725931995,0.88529291274068,0.0,0.03548153511947864,0.9645184648805214,0.0,,,,0.2179245283018868,0.7820754716981132,0.0,0.03678678678678678,0.9632132132132132,0.0,0.5288461538461539,0.47115384615384615,0.0,0.0962772785622593,0.9037227214377407,0.0
14000US17031030101,0.04415954415954416,0.9558404558404558,0.0,0.03571428571428571,0.9642857142857143,0.0,0.0,1.0,0.0,0.08791208791208792,0.9120879120879121,0.0,0.042045454545454546,0.9579545454545455,0.0,0.0,1.0,0.0,0.05129619415333701,0.948703805846663,0.0
14000US17031030701,0.018957345971563982,0.981042654028436,0.0,0.032454361054766734,0.9675456389452333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.035955056179775284,0.9640449438202248,0.0,0.0,1.0,0.0,0.020887728459530026,0.97911227154047,0.0
14000US17031070103,0.024434389140271493,0.9755656108597285,0.0,0.029637760702524697,0.9703622392974753,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03180212014134275,0.9681978798586572,0.0,0.0,1.0,0.0,0.02608695652173913,0.9739130434782609,0.0
14000US17031770602,0.5224935732647815,0.36182519280205655,0.11568123393316196,0.4893964110929853,0.3727569331158238,0.13784665579119088,,,,0.6454545454545455,0.3212121212121212,0.03333333333333333,0.7004950495049505,0.2561881188118812,0.043316831683168314,0.18412162162162163,0.5709459459459459,0.24493243243243243,0.7302904564315352,0.23340248962655602,0.03630705394190872
