GEOID_Data,owner,renter,white_owner,white_renter,black_owner,black_renter,other_owner,other_renter,nhisp_white_owner,nhisp_white_renter,hisp_owner,hisp_renter,nhisp_owner,nhisp_renter
14000US17031220601,0.4332425068119891,0.5667574931880109,0.43320610687022904,0.566793893129771,0.5081967213114754,0.4918032786885246,0.40268456375838924,0.5973154362416108,0.419811320754717,0.5801886792452831,0.6363636363636364,0.36363636363636365,0.3582089552238806,0.6417910447761194
14000US17031040401,0.6158620689655172,0.38413793103448274,0.599009900990099,0.400990099009901,0.2545454545454545,0.7454545454545455,0.8360655737704918,0.16393442622950818,0.6322393822393823,0.36776061776061775,0.5116279069767442,0.4883720930232558,0.6340080971659919,0.3659919028340081
14000US17031252202,0.2671711292200233,0.7328288707799767,,,0.26710684273709484,0.7328931572629052,0.2692307692307692,0.7307692307692307,,,0.5185185185185185,0.48148148148148145,0.2631578947368421,0.7368421052631579
14000US17031252102,0.4506849315068493,0.5493150684931507,1.0,0.0,0.4007295466388744,0.5992704533611256,0.7862903225806451,0.21370967741935484,1.0,0.0,1.0,0.0,0.40563241106719367,0.5943675889328063
14000US17031836300,0.32047477744807124,0.6795252225519288,0.24380165289256198,0.756198347107438,0.4243243243243243,0.5756756756756757,0.0,1.0,0.25,0.75,0.0,1.0,0.32335329341317365,0.6766467065868264
14000US17031834500,0.058091286307053944,0.941908713692946,0.0,1.0,0.06167400881057269,0.9383259911894273,0.0,1.0,0.0,1.0,,,0.058091286307053944,0.941908713692946
14000US17031836000,0.49157303370786515,0.5084269662921348,1.0,0.0,0.45829042224510813,0.5417095777548918,0.5641025641025641,0.4358974358974359,1.0,0.0,0.0,1.0,0.49528301886792453,0.5047169811320755
14000US17031836200,0.7142857142857143,0.2857142857142857,0.7241379310344828,0.27586206896551724,1.0,0.0,0.6571428571428571,0.34285714285714286,0.7241379310344828,0.27586206896551724,1.0,0.0,0.6956521739130435,0.30434782608695654
14000US17031834400,0.2911392405063291,0.7088607594936709,0.8505747126436781,0.14942528735632185,0.24135876042908225,0.7586412395709178,0.5572519083969466,0.44274809160305345,0.8088235294117647,0.19117647058823528,1.0,0.0,0.2839637719765583,0.7160362280234417
14000US17031834300,0.6813520698822636,0.3186479301177364,1.0,0.0,0.6681146828844483,0.3318853171155517,0.7626582278481012,0.23734177215189872,1.0,0.0,0.0,1.0,0.6868300153139357,0.31316998468606433
