GEOID_Data,one_or_less,more_than_one,white_one_or_less,white_more_than_one,black_one_or_less,black_more_than_one,other_one_or_less,other_more_than_one,nhisp_white_one_or_less,nhisp_white_more_than_one,hisp_one_or_less,hisp_more_than_one,nhisp_one_or_less,nhisp_more_than_one
14000US17031770902,0.9665529010238908,0.033447098976109216,0.9633507853403142,0.03664921465968586,,,1.0,0.0,0.9621329211746522,0.03786707882534776,1.0,0.0,0.9643636363636363,0.03563636363636364
14000US17031430101,0.9772196261682243,0.0227803738317757,1.0,0.0,0.9762050030506406,0.023794996949359364,1.0,0.0,1.0,0.0,1.0,0.0,0.9762917933130699,0.02370820668693009
14000US17031252101,0.9753623188405797,0.02463768115942029,1.0,0.0,0.9747774480712166,0.025222551928783383,,,1.0,0.0,1.0,0.0,0.9741641337386018,0.025835866261398176
14000US17031010501,0.989339893398934,0.01066010660106601,1.0,0.0,1.0,0.0,0.9144736842105263,0.08552631578947369,1.0,0.0,0.9252336448598131,0.07476635514018691,0.9955056179775281,0.0044943820224719105
14000US17031020701,0.9829396325459318,0.01706036745406824,0.9883333333333333,0.011666666666666667,0.8775510204081632,0.12244897959183673,1.0,0.0,0.9875666074600356,0.012433392539964476,1.0,0.0,0.9810495626822158,0.018950437317784258
14000US17031010201,0.8644859813084113,0.13551401869158877,0.8412280701754385,0.1587719298245614,0.8342059336823735,0.16579406631762653,0.9507042253521126,0.04929577464788732,0.8832838773491593,0.11671612265084075,0.8409090909090909,0.1590909090909091,0.8705882352941177,0.12941176470588237
14000US17031040900,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031050200,0.9927953890489913,0.007204610951008645,1.0,0.0,1.0,0.0,0.9117647058823529,0.08823529411764706,1.0,0.0,1.0,0.0,0.9919181034482759,0.008081896551724138
14000US17031071700,0.9921259842519685,0.007874015748031496,1.0,0.0,1.0,0.0,0.9074074074074074,0.09259259259259259,1.0,0.0,1.0,0.0,0.9919354838709677,0.008064516129032258
14000US17031031800,0.9492537313432836,0.050746268656716415,0.9704142011834319,0.029585798816568046,1.0,0.0,0.8966666666666666,0.10333333333333333,0.9750830564784053,0.024916943521594685,0.9612403100775194,0.03875968992248062,0.9474885844748858,0.05251141552511415
14000US17031031700,0.9853658536585366,0.014634146341463415,0.9968590498625834,0.0031409501374165686,0.9455040871934605,0.05449591280653951,0.9453551912568307,0.0546448087431694,0.996781979082864,0.003218020917135961,1.0,0.0,0.9847036328871893,0.015296367112810707
14000US17031610400,0.9558303886925795,0.044169611307420496,0.9624413145539906,0.03755868544600939,1.0,0.0,0.9492537313432836,0.050746268656716415,1.0,0.0,0.9532710280373832,0.04672897196261682,1.0,0.0
14000US17031050600,0.9937555753791257,0.006244424620874219,0.9931237721021611,0.0068762278978389,1.0,0.0,1.0,0.0,1.0,0.0,0.9278350515463918,0.07216494845360824,1.0,0.0
14000US17031050500,0.9902629016553067,0.009737098344693282,0.9884991374353076,0.011500862564692352,,,1.0,0.0,0.9876847290640394,0.012315270935960592,1.0,0.0,0.9893503727369543,0.010649627263045794
14000US17031071600,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031671400,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0
14000US17031062300,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031630400,0.91796875,0.08203125,0.8942917547568711,0.10570824524312897,1.0,0.0,0.9418316831683168,0.05816831683168317,1.0,0.0,0.9071383449147189,0.09286165508528112,1.0,0.0
14000US17031010100,0.9755288262131896,0.024471173786810452,1.0,0.0,0.9288299155609168,0.07117008443908324,1.0,0.0,1.0,0.0,1.0,0.0,0.9714285714285714,0.02857142857142857
14000US17031680600,1.0,0.0,1.0,0.0,1.0,0.0,,,1.0,0.0,,,1.0,0.0
14000US17031030500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031020500,0.8708333333333333,0.12916666666666668,0.9934725848563969,0.006527415143603133,0.9132231404958677,0.08677685950413223,0.7803819444444444,0.21961805555555555,0.9912739965095986,0.008726003490401396,0.9315789473684211,0.06842105263157895,0.8578651685393258,0.14213483146067415
